River_ID,Station,State,District LGD Code,District,Latitude,Longitude,Date,Mean_Discharge_m3_sec,Max_Discharge_m3_sec,Min_Discharge_m3_sec,Readings
121,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-04-06,116.54276595744682,154.0,13.33,94
208,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-04-06,10.107473684210527,10.68,9.04,95
292,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-04-06,8.075,11.94,5.77,94
386,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-04-06,8.803229166666666,13.22,6.08,96
30,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-04-07,110.38645833333334,144.88,89.23,96
122,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-04-07,133.46882978723403,164.39,115.6,94
209,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-04-07,80.74642105263158,145.98,49.88,95
31,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-04-08,429.3208333333334,490.65,369.04,96
123,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-04-08,456.70760416666667,737.7,150.22,96
210,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-04-08,98.52749999999999,171.93,55.82,96
293,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-04-08,139.73697916666666,186.27,96.39,96
294,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-04-09,233.50192307692308,282.81,175.14,52
387,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-04-09,33.080253164556964,37.2,29.48,79
32,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-05-01,24.159895833333334,28.9,18.15,96
124,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-05-01,201.46343750000003,484.77,148.64,96
211,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-05-01,6.596666666666668,7.04,5.02,90
295,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-05-01,6.441666666666666,9.59,4.24,96
388,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-05-01,6.504791666666667,6.79,6.28,96
33,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-05-02,20.812315789473686,23.68,17.94,95
125,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-05-02,208.15052631578948,679.28,143.52,95
212,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-05-02,5.627999999999999,5.93,5.17,95
296,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-05-02,10.570208333333333,17.51,6.14,96
389,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-05-02,12.943125,13.47,12.11,96
34,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-05-03,19.913076923076922,25.0,15.14,91
126,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-05-03,289.0875789473684,673.92,140.85,95
213,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-05-03,5.3833734939759035,5.82,4.2,83
297,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-05-03,7.141282051282051,9.56,4.85,78
35,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-05-04,20.224666666666668,25.42,15.14,90
127,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-05-04,156.6132978723404,184.25,139.0,94
298,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-05-04,6.979130434782609,13.28,4.62,69
390,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-05-04,12.866770833333334,14.39,11.9,96
36,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-05-05,23.05,27.09,16.54,92
128,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-05-05,228.465,481.05,140.99,96
214,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-05-05,6.514193548387097,7.28,4.42,93
299,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-05-05,10.964736842105264,16.46,7.09,95
391,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-05-05,13.813684210526315,18.72,11.65,95
37,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-05-06,39.26715789473684,52.52,29.91,95
129,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-05-06,115.48768421052631,155.66,8.35,95
215,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-05-06,10.041157894736841,10.75,8.97,95
300,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-05-06,9.447111111111111,15.43,6.61,90
392,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-05-06,11.534479166666666,16.18,9.5,96
38,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-05-07,111.11375,146.64,95.64,96
130,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-05-07,147.43368421052634,336.67,115.85,95
216,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-05-07,96.60364583333335,213.48,50.26,96
39,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-05-08,395.55562499999996,473.15,327.68,96
131,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-05-08,444.621875,699.15,146.12,96
217,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-05-08,102.38747368421052,188.8,50.4,95
301,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-05-08,152.89260416666667,198.62,117.64,96
393,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-05-09,29.65192307692308,31.61,28.5,26
40,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-06-01,23.837708333333335,26.59,20.07,96
132,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-06-01,214.84604166666668,641.09,146.58,96
218,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-06-01,6.574,7.14,5.51,95
302,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-06-01,6.658124999999999,10.26,4.22,96
394,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-06-01,6.419687499999999,6.63,6.17,96
41,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-06-02,20.37284210526316,23.47,15.84,95
133,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-06-02,198.108125,510.33,143.51,96
219,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-06-02,5.63,6.04,4.25,89
303,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-06-02,10.607604166666667,16.51,5.98,96
395,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-06-02,12.512500000000001,13.09,11.98,96
42,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-06-03,22.29778947368421,28.29,18.21,95
134,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-06-03,310.0084375,653.64,140.62,96
220,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-06-03,5.294625,5.75,4.2,80
304,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-06-03,6.969333333333334,9.54,4.65,75
43,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-06-04,18.904578313253012,21.87,13.31,83
135,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-06-04,157.18852631578946,176.05,144.02,95
305,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-06-04,10.08547619047619,14.54,5.53,84
396,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-06-04,13.799999999999999,15.59,12.37,96
44,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-06-05,21.955425531914894,26.62,17.08,94
136,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-06-05,231.25705263157892,506.66,143.61,95
221,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-06-05,6.398936170212766,7.02,5.34,94
306,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-06-05,10.53621052631579,16.39,7.32,95
